fill	x	y	tooltip	key	showSelectedlegendfill	clickSelects	showSelected1
#FFFFFF	0.75	1	-4.0<thresh<-3.2 FP=9 FN=0	-4.2 -3.5987564321254	More	-3.5987564321254	-4.2
#FFFFFF	0.666666666666667	1	-3.2<thresh<-2.6 FP=8 FN=0	-4.2 -2.87110214393305	More	-2.87110214393305	-4.2
#FFFFFF	0.583333333333333	1	-2.6<thresh<-2.5 FP=7 FN=0	-4.2 -2.524465240576	More	-2.524465240576	-4.2
#FFFFFF	0.583333333333333	0.75	-2.5<thresh<-1.0 FP=7 FN=1	-4.2 -1.7250450381836	More	-1.7250450381836	-4.2
#FFFFFF	0.5	0.75	-1.0<thresh<0.2 FP=6 FN=1	-4.2 -0.412657524285237	More	-0.412657524285237	-4.2
#FFFFFF	0.416666666666667	0.75	0.2<thresh<1.1 FP=5 FN=1	-4.2 0.612958946320131	More	0.612958946320131	-4.2
#000000	0.166666666666667	0.75	1.1<thresh<1.6 FP=2 FN=1	-4.2 1.31885391825865	Min	1.31885391825865	-4.2
#FFFFFF	0.166666666666667	0.5	1.6<thresh<1.8 FP=2 FN=2	-4.2 1.66523715330971	More	1.66523715330971	-4.2
#000000	0.0833333333333333	0.5	1.8<thresh<2.5 FP=1 FN=2	-4.2 2.12562278092917	Min	2.12562278092917	-4.2
#FFFFFF	0.0833333333333333	0.25	2.5<thresh<3.8 FP=1 FN=3	-4.2 3.15283511716953	More	3.15283511716953	-4.2
#000000	0	0.25	3.8<thresh<5.5 FP=0 FN=3	-4.2 4.65202555736225	Min	4.65202555736225	-4.2
#FFFFFF	0	0	5.5<thresh<Inf FP=0 FN=4	-4.2 Inf	More	Inf	-4.2
#FFFFFF	1	1	-Inf<thresh<-4.0 FP=12 FN=0	-4 -Inf	More	-Inf	-4
#FFFFFF	0.75	1	-4.0<thresh<-3.2 FP=9 FN=0	-4 -3.5987564321254	More	-3.5987564321254	-4
#FFFFFF	0.666666666666667	1	-3.2<thresh<-2.6 FP=8 FN=0	-4 -2.87110214393305	More	-2.87110214393305	-4
#FFFFFF	0.583333333333333	1	-2.6<thresh<-2.5 FP=7 FN=0	-4 -2.524465240576	More	-2.524465240576	-4
#FFFFFF	0.583333333333333	0.75	-2.5<thresh<-1.0 FP=7 FN=1	-4 -1.7250450381836	More	-1.7250450381836	-4
#FFFFFF	0.5	0.75	-1.0<thresh<-0.0 FP=6 FN=1	-4 -0.512657524285237	More	-0.512657524285237	-4
#FFFFFF	0.416666666666667	0.75	-0.0<thresh<0.9 FP=5 FN=1	-4 0.412958946320131	More	0.412958946320131	-4
#FFFFFF	0.166666666666667	0.75	0.9<thresh<1.6 FP=2 FN=1	-4 1.20830916989523	More	1.20830916989523	-4
#000000	0.0833333333333333	0.75	1.6<thresh<1.6 FP=1 FN=1	-4 1.56523715330971	Min	1.56523715330971	-4
#FFFFFF	0.0833333333333333	0.5	1.6<thresh<2.3 FP=1 FN=2	-4 1.9361675292926	More	1.9361675292926	-4
#FFFFFF	0.0833333333333333	0.25	2.3<thresh<3.6 FP=1 FN=3	-4 2.95283511716953	More	2.95283511716953	-4
#FFFFFF	0	0.25	3.6<thresh<5.3 FP=0 FN=3	-4 4.45202555736225	More	4.45202555736225	-4
#FFFFFF	0	0	5.3<thresh<Inf FP=0 FN=4	-4 Inf	More	Inf	-4
#FFFFFF	1	1	-Inf<thresh<-4.0 FP=12 FN=0	-3.8 -Inf	More	-Inf	-3.8
#FFFFFF	0.75	1	-4.0<thresh<-3.2 FP=9 FN=0	-3.8 -3.5987564321254	More	-3.5987564321254	-3.8
#FFFFFF	0.666666666666667	1	-3.2<thresh<-2.6 FP=8 FN=0	-3.8 -2.87110214393305	More	-2.87110214393305	-3.8
#FFFFFF	0.583333333333333	1	-2.6<thresh<-2.5 FP=7 FN=0	-3.8 -2.524465240576	More	-2.524465240576	-3.8
#FFFFFF	0.583333333333333	0.75	-2.5<thresh<-1.0 FP=7 FN=1	-3.8 -1.7250450381836	More	-1.7250450381836	-3.8
#FFFFFF	0.5	0.75	-1.0<thresh<-0.2 FP=6 FN=1	-3.8 -0.612657524285237	More	-0.612657524285237	-3.8
#FFFFFF	0.416666666666667	0.75	-0.2<thresh<0.7 FP=5 FN=1	-3.8 0.212958946320131	More	0.212958946320131	-3.8
#FFFFFF	0.166666666666667	0.75	0.7<thresh<1.4 FP=2 FN=1	-3.8 1.00830916989523	More	1.00830916989523	-3.8
#000000	0.0833333333333333	0.75	1.4<thresh<1.6 FP=1 FN=1	-3.8 1.46523715330971	Min	1.46523715330971	-3.8
#FFFFFF	0.0833333333333333	0.5	1.6<thresh<2.1 FP=1 FN=2	-3.8 1.8361675292926	More	1.8361675292926	-3.8
#FFFFFF	0.0833333333333333	0.25	2.1<thresh<3.4 FP=1 FN=3	-3.8 2.75283511716953	More	2.75283511716953	-3.8
#FFFFFF	0	0.25	3.4<thresh<5.1 FP=0 FN=3	-3.8 4.25202555736225	More	4.25202555736225	-3.8
#FFFFFF	0	0	5.1<thresh<Inf FP=0 FN=4	-3.8 Inf	More	Inf	-3.8
#FFFFFF	1	1	-Inf<thresh<-4.0 FP=12 FN=0	-3.6 -Inf	More	-Inf	-3.6
#FFFFFF	0.75	1	-4.0<thresh<-3.2 FP=9 FN=0	-3.6 -3.5987564321254	More	-3.5987564321254	-3.6
